"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ONGC","BL","03-Oct-2022","        136.50","        126.80","        126.80","        126.80","        126.80","        126.80","        126.80","    3146729","           399005237.20","          1","-","-"
"ONGC","EQ","03-Oct-2022","        126.80","        131.70","        135.00","        130.60","        132.60","        132.40","        133.20","   50966493","          6788840831.80","     288407","   11601924","         22.76"
"ONGC","EQ","04-Oct-2022","        132.40","        134.90","        135.00","        131.80","        134.00","        133.90","        133.19","   14137567","          1882936959.65","      75327","    4705403","         33.28"
"ONGC","EQ","06-Oct-2022","        133.90","        136.50","        136.55","        132.40","        132.65","        132.65","        133.85","   14570735","          1950311519.35","      83007","    4903002","         33.65"
"ONGC","EQ","07-Oct-2022","        132.65","        132.05","        134.25","        131.20","        134.00","        134.05","        132.95","   13532236","          1799128444.10","      63473","    5916006","         43.72"
"ONGC","EQ","10-Oct-2022","        134.05","        133.00","        134.00","        132.20","        133.25","        133.25","        133.40","   10183057","          1358406186.30","      50759","    4670354","         45.86"
"ONGC","EQ","11-Oct-2022","        133.25","        133.25","        133.50","        130.25","        131.10","        131.10","        131.36","   13176461","          1730826313.35","      66082","    4169485","         31.64"
"ONGC","EQ","12-Oct-2022","        131.10","        131.10","        132.00","        129.10","        131.35","        131.35","        130.65","    9401804","          1228314679.75","      56711","    3126801","         33.26"
"ONGC","EQ","13-Oct-2022","        131.35","        131.20","        131.85","        127.65","        130.00","        129.85","        129.39","   13320136","          1723507834.55","      62333","    4927738","         36.99"
"ONGC","EQ","14-Oct-2022","        129.85","        132.00","        132.80","        127.05","        127.65","        127.60","        129.31","   13205955","          1707692390.60","      65554","    5083870","         38.50"
"ONGC","EQ","17-Oct-2022","        127.60","        127.00","        128.20","        126.00","        128.00","        127.80","        127.21","    9320940","          1185738436.35","      50726","    3317662","         35.59"
"ONGC","EQ","18-Oct-2022","        127.80","        128.45","        129.10","        127.60","        128.80","        128.70","        128.33","    6490293","           832913042.95","      35373","    3191658","         49.18"
"ONGC","EQ","19-Oct-2022","        128.70","        128.70","        128.70","        127.40","        127.50","        127.80","        128.00","    7381712","           944854748.15","      54399","    3368487","         45.63"
"ONGC","EQ","20-Oct-2022","        127.80","        127.00","        131.00","        125.80","        129.35","        129.60","        128.76","   18748363","          2414024880.20","      64098","    9878069","         52.69"
"ONGC","EQ","21-Oct-2022","        129.60","        129.35","        133.40","        128.75","        131.45","        131.55","        131.70","   11945173","          1573238649.60","      57477","    3839487","         35.51"
"ONGC","EQ","24-Oct-2022","        131.55","        133.00","        134.00","        132.40","        132.60","        132.80","        133.30","    2154912","           287258209.75","      19384","     888532","         41.23"
