"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"RELIANCE","BL","03-Oct-2022","       2534.00","       2377.75","       2377.75","       2377.75","       2377.75","       2377.75","       2377.75","    3851162","          9157100445.50","          1","-","-"
"RELIANCE","EQ","03-Oct-2022","       2377.75","       2391.50","       2416.95","       2363.00","       2367.05","       2369.50","       2382.06","    5470030","         13029923334.80","     230794","    2717072","         49.67"
"RELIANCE","EQ","04-Oct-2022","       2369.50","       2397.80","       2418.00","       2390.15","       2412.90","       2413.20","       2406.73","    4129893","          9939556462.20","     152496","    2069006","         50.10"
"RELIANCE","EQ","06-Oct-2022","       2413.20","       2429.00","       2450.00","       2418.15","       2422.50","       2422.10","       2433.70","    6162021","         14996487081.50","     212103","    4293494","         69.68"
"RELIANCE","EQ","07-Oct-2022","       2422.10","       2414.65","       2443.90","       2414.65","       2431.95","       2432.35","       2431.89","    3560167","          8657940132.20","     119485","    1945241","         54.64"
"RELIANCE","EQ","10-Oct-2022","       2432.35","       2405.00","       2417.60","       2388.00","       2407.00","       2405.80","       2403.20","    2921076","          7019927774.65","     136725","    1453561","         49.76"
"RELIANCE","EQ","11-Oct-2022","       2405.80","       2414.00","       2414.00","       2351.10","       2353.55","       2357.90","       2377.84","    4252803","         10112492555.10","     197213","    2480007","         58.31"
"RELIANCE","EQ","12-Oct-2022","       2357.90","       2352.00","       2381.70","       2343.10","       2377.00","       2375.25","       2368.06","    3422992","          8105861297.40","     158484","    1914563","         55.93"
"RELIANCE","EQ","13-Oct-2022","       2375.25","       2371.40","       2394.00","       2360.10","       2381.00","       2382.80","       2379.51","    3382098","          8047737069.20","     163282","    1976668","         58.45"
"RELIANCE","EQ","14-Oct-2022","       2382.80","       2415.00","       2416.35","       2369.10","       2371.75","       2370.70","       2392.60","    4202459","         10054822904.25","     178804","    2676992","         63.70"
"RELIANCE","BL","17-Oct-2022","       2377.75","       2370.70","       2370.70","       2370.70","       2370.70","       2370.70","       2370.70","    3936069","          9331238778.30","          1","-","-"
